 Constante   Classificação                          Tipo base 

 `\r`        sequência de escape                    char    
 `2130`      constante inteira decimal              int     
 `-123`      constante inteira decimal negativa     int     
 `33.28`     constante de ponto flutuante           double  
 `0XFA`      constante inteira hexadecimal          int     
 `0101`      constante inteira octal                int     
 `2.0e30`    constante de ponto flutuante           double  
 `\xDC`      sequência de escape hexadecimal        char    
 `'\"'`      constante de caractere                 char    
 `'\\'`      constante de caractere                 char    
 `'F'`       constante de caractere                 char    
 `0`         constante inteira decimal              int     
 `'\0'`      constante de caractere                 char    
 `"F"`       constante string                       char  
 `-4567.89`  constante de ponto flutuante negativa  double
